Date,Close,High,Low,Open,Volume
2019-01-02,215.45315551757812,217.98383908725648,213.66574624063796,216.7892805082244,4063600
2019-01-03,209.57772827148438,215.4443025930365,208.94063215031431,215.4443025930365,4623200
2019-01-04,212.02877807617188,215.42662876990943,211.30320458811556,212.18805886737752,5367600
2019-01-07,212.435791015625,214.1170085399757,210.79880539838632,212.71893732943633,4133000
2019-01-08,215.2761688232422,216.60345010133028,212.10840272112554,214.42671636627568,3618600
2019-01-09,215.58584594726562,218.23156448792218,214.18777489079105,216.5768781891001,3425400
2019-01-10,216.67425537109375,216.91316979854125,213.61266723425152,214.20551796015098,3374100
2019-01-11,219.15184020996094,219.23147384829704,215.25848709308733,215.4177543697595,3967100
2019-01-14,219.49693298339844,221.14276235265407,217.77146997574422,218.19619621567364,4955500
2019-01-15,227.2925262451172,227.33678516355383,218.55901837398937,221.21358135019167,5325600
2019-01-16,231.35397338867188,231.99992668104554,228.44282249039696,228.93833868600152,6069400
2019-01-17,229.85858154296875,231.60174551640566,228.19507821615767,230.9381048209897,3583600
2019-01-18,234.92877197265625,235.60126975391995,230.43372486508585,232.36270039137838,4844800
2019-01-22,235.096923828125,236.69850783298665,233.37144726864685,233.65460710467752,4052700
2019-01-23,236.2738037109375,238.44170771479793,233.30956317991232,236.9197571211209,2971100
2019-01-24,235.48622131347656,237.28247402093845,233.83154849965746,236.0790584267768,2927300
2019-01-25,237.18519592285156,239.2734662149416,235.10580981896186,237.84883668033422,2809100
2019-01-28,236.05258178710938,236.19416172147888,234.14129317853804,236.1676171715103,2837300
2019-01-29,236.556884765625,237.53908682906948,234.87566742672007,235.3711835475846,2173000
2019-01-30,239.23806762695312,241.06972262256417,236.4242372590825,238.63637314645473,3659000
2019-01-31,239.08763122558594,240.45028733980902,238.01693813119914,239.33538933759093,4055100
2019-02-01,237.77806091308594,238.37092520643478,235.39780056229904,237.55684732660842,3946800
2019-02-04,237.32675170898438,237.75149147185397,233.8404237908053,237.41524253503331,3398900
2019-02-05,235.6455078125,240.75996374727342,235.22962527958566,239.016799982114,3597000
2019-02-06,238.46823120117188,238.84871206507916,234.46869953089706,234.61027945775766,2570000
2019-02-07,238.0258026123047,239.4238605007069,236.48616479790067,237.7072680315079,2458200
2019-02-08,231.74334716796875,237.76037290609253,230.34528918679138,236.6985368924202,4547000
2019-02-11,227.53140258789062,231.1061938090957,226.8235030859652,231.09736363029998,4856200
2019-02-12,233.15907287597656,233.60149995923268,227.3367443419127,229.3718981234484,4327900
2019-02-13,233.42454528808594,235.6278507796643,232.84939541413684,233.17678717298742,3066400
2019-02-14,234.77838134765625,236.3180462039827,232.46006738435867,232.92903908683024,3015300
2019-02-15,239.91049194335938,239.91049194335938,235.91979138622958,236.95508254535235,3673700
2019-02-19,239.27346801757812,241.11395318394005,238.2735782815268,239.945965964716,2486700
2019-02-20,238.47705078125,239.43268138235914,237.30017963887414,238.21157833389336,2802800
2019-02-21,235.72515869140625,238.8575501896767,234.5748590074148,238.4416676263368,2554300
2019-02-22,236.3533935546875,237.48603285968252,235.32698644084854,235.81364545178263,3191100
2019-02-25,234.13243103027344,237.291367063284,233.93776202254597,236.76927931249992,3679100
2019-02-26,232.69903564453125,234.8669128696643,232.53974131896155,234.18558465667078,3212900
2019-02-27,221.2843475341797,231.48670222761518,220.2756142517074,231.48670222761518,8952900
2019-02-28,214.32937622070312,222.9390034372986,211.61286746223254,220.94808157260428,11034300
2019-03-01,217.806884765625,219.44387065307373,215.51511532464113,215.51511532464113,6921300
2019-03-04,208.8433074951172,219.84203953290458,207.50716891324086,219.55003600511316,8646300
2019-03-05,213.63035583496094,215.19655164337908,207.8876603737684,209.2945753956978,6924500
2019-03-06,211.54212951660156,213.90468893919837,209.73701913636225,213.90468893919837,4878700
2019-03-07,209.44500732421875,213.409150754994,208.4274302934736,212.63048816257694,5033500
2019-03-08,210.76846313476562,212.65152327812166,208.41465489724328,208.86764811842548,4921700
2019-03-11,215.97349548339844,216.74626614645868,209.9957009600568,212.47387456894393,4539600
2019-03-12,218.3983612060547,219.8195234457395,216.4975463760569,217.5722988797765,4235800
2019-03-13,224.05642700195312,224.5094202506837,219.46427113539008,220.24591930104813,4881600
2019-03-14,224.96241760253906,226.55234617816132,224.13635517974458,224.72259127936152,3865200
2019-03-15,223.3014373779297,226.26814146903888,222.0046267240174,225.91284066750558,6466200
2019-03-18,226.4990234375,226.774373022949,222.43092170386922,224.42056506346253,3927400
2019-03-19,228.39096069335938,230.27400706011986,226.62337520065913,227.34284051802192,4164800
2019-03-20,222.50201416015625,228.88840148562267,222.03125249989287,228.65745259718804,4193500
2019-03-21,223.85215759277344,224.6870975621569,220.86769852845615,221.33846024679528,2699700
2019-03-22,219.4730987548828,223.1237304405331,219.38428374470635,222.56415386107997,3777900
2019-03-25,219.26885986328125,219.76626740559462,213.86840994767786,219.76626740559462,4110900
2019-03-26,216.18667602539062,220.1837179932359,214.70333096594635,219.62412778066943,4416200
2019-03-27,214.6944122314453,218.22067833125644,211.54118813047037,215.7869330308998,4819200
2019-03-28,215.1562957763672,215.70700847995852,212.18960604907392,215.47605963372033,3601500
2019-03-29,219.6240997314453,220.06821544893026,214.83653283909126,216.98605128531796,4294200
2019-04-01,218.0963897705078,222.23555244385304,215.89357910987437,221.8003276166883,4809500
2019-04-02,217.09266662597656,218.8602386568553,215.66261335265034,218.06971315503756,4057100
2019-04-03,218.36285400390625,219.87284501816694,217.2525645002824,218.7803239415359,2851400
2019-04-04,219.73959350585938,221.2673527928126,217.29695684458778,218.04306806286615,2255500
2019-04-05,220.9742431640625,221.44500479967496,217.76772673746694,221.12524090064218,3343000
