Date,Close,High,Low,Open,Volume
2019-01-02,104.16252899169922,104.66122075870778,102.23124499130037,104.08092865762191,4247100
2019-01-03,100.92560577392578,104.03561265738105,100.73519803628105,104.0174815518273,4203300
2019-01-04,103.9631118774414,104.12631262828482,101.31552004245263,101.74167378333762,5795200
2019-01-07,104.52522277832031,105.57700663058927,101.5965618955213,101.88670797241824,7749600
2019-01-08,105.4863510131836,105.55888927601646,103.83614358069816,104.89699665114767,3428900
2019-01-09,106.2751693725586,107.19094574772247,105.37753101855816,105.51353850677113,5820100
2019-01-10,105.12367248535156,106.28425700857906,104.24416508075994,106.16638060324446,4282300
2019-01-11,105.34126281738281,105.36846293173822,104.3620171948183,104.51615578791782,2648800
2019-01-14,103.98120880126953,104.4980317619118,103.66386258291529,104.45269362316317,4404600
2019-01-15,106.1663818359375,107.19096577664365,102.82063573945486,103.28305851873259,5097700
2019-01-16,105.90342712402344,107.05494247866892,105.61328103262728,106.07569682609622,2920600
2019-01-17,108.04326629638672,108.07952850795871,105.67675922764269,105.912498191006,4401900
2019-01-18,105.71300506591797,105.9940890442834,104.289474823997,104.79723563653856,8887000
2019-01-22,106.1663818359375,106.18451986049007,104.89699682243703,104.89699682243703,4377500
2019-01-23,107.7077865600586,107.80752494014033,106.01224101629849,106.18451765782683,4012100
2019-01-24,104.26229858398438,107.19096699588275,103.54599879385903,107.19096699588275,6946200
2019-01-25,104.24415588378906,104.58870222196533,103.40091768464693,104.57963321059447,4599100
2019-01-28,104.29855346679688,104.37109172066323,102.94756134727206,104.01747638010055,3590900
2019-01-29,104.91511535644531,105.13272320159186,103.2830461414032,103.7182618316963,3767400
2019-01-30,106.03035736083984,106.15729583360208,104.75189670535578,104.75189670535578,4362900
2019-01-31,108.67793273925781,108.93180966524267,105.83994150574499,106.03034920023363,5746100
2019-02-01,109.61186218261719,109.70253154335153,108.01605514670348,109.09503921703981,4171500
2019-02-04,108.95903015136719,110.47322989852059,107.61710702947356,109.90200670823691,4518400
2019-02-05,109.19476318359375,110.38254756306105,109.16756307072471,109.45770913737428,8832400
2019-02-06,108.14299774169922,109.54839709814848,106.75573640866284,107.59897463900658,7421000
2019-02-07,106.53813171386719,108.1974081063227,105.95783946475093,107.8981929697889,7935000
2019-02-08,108.44219970703125,110.10147584883158,106.49277748450312,106.74666135806464,16195100
2019-02-11,107.00054931640625,108.75049499131815,106.12104197318119,108.07952649006936,7203100
2019-02-12,108.34247589111328,108.71422928195355,106.53812992548171,106.77387580948702,6975500
2019-02-13,108.487548828125,109.05877203681825,107.09121851146809,108.44221068813377,12738600
2019-02-14,110.07833099365234,110.53414188803599,108.300671287605,108.42829778162265,17847000
2019-02-15,111.65543365478516,111.65543365478516,109.75925876840513,110.47032261201716,10366400
