Date,Close,High,Low,Open,Volume
2019-01-02,134.62353515625,136.43928787690126,127.55897910736016,127.98563883187403,28146200
2019-01-03,130.71421813964844,136.10193043297755,130.09903544528873,133.6412450754704,22717900
2019-01-04,136.8758544921875,136.92546819706592,132.70856066201134,132.96653073141118,29002100
2019-01-07,136.97508239746094,137.78868962849725,134.8517460247865,136.488892311857,20089300
2019-01-08,141.42019653320312,142.02544740628335,138.45347255860054,138.80075335822818,26263800
2019-01-09,143.10696411132812,143.5733057172067,140.17002031683543,141.83693190722673,22205900
2019-01-10,143.0771942138672,143.43439170578438,139.74335600263245,141.96591985678148,16125000
2019-01-11,142.68031311035156,144.2281638432297,141.45989466942495,142.0353652116674,12908000
2019-01-14,144.25794982910156,145.42876987269327,140.17003421312768,140.8943459779043,20520300
2019-01-15,147.79022216796875,149.50674756683452,144.85327820204645,144.87311157453394,24069000
2019-01-16,146.39120483398438,148.48477637801153,145.8554160895323,147.83984351932185,18025700
2019-01-17,147.14529418945312,147.83984074886803,145.3593065081152,145.8057996434548,15787900
2019-01-18,148.87171936035156,151.24310921857838,147.39333081098312,148.58398408281647,31029600
2019-01-22,146.42095947265625,150.35011661555828,145.23029111179903,148.03825724886107,22378700
2019-01-23,143.1764373779297,147.64139894809395,141.94608696153634,147.12544359412522,20098400
2019-01-24,144.69451904296875,145.2997699777729,141.41029426918743,143.51378237179517,20955500
2019-01-25,147.84974670410156,148.6633691432037,145.3989778409229,146.33166107014597,22237200
2019-01-28,146.32176208496094,147.80016601437944,145.07157821752008,146.8972478734598,15508500
2019-01-29,143.06727600097656,146.94683466399238,142.313184003882,146.9369028387817,17632100
2019-01-30,149.248779296875,149.7746513338501,144.5655295359058,145.0814848865154,44613200
2019-01-31,165.39208984375,170.34322609112806,163.7152464126422,164.31058063740673,77233600
2019-02-01,164.4197235107422,167.78332703355187,164.37010980238654,164.54870098449308,30806500
2019-02-04,167.9321746826172,167.9817883973732,162.34600650864698,164.4098128946608,20036000
2019-02-05,169.8272705078125,170.64087772521418,167.37650189079923,167.83291163373806,22557000
2019-02-06,169.16250610351562,171.1270848386497,167.9520042717718,169.8669692977403,13281200
